experiment,train_runtime_sec,train_runtime_hms,max_steps,method
curr_fwd,27854.0401,7h44m,2391,lora
curr_fwd_p1,14741.2259,4h05m,2109,lora
curr_rev,14720.0407,4h05m,2109,lora
curr_rev_p1,27904.5785,7h45m,2391,lora
grpo_r32_from3000_continuous,258339.0,71h45m,1500,grpo
grpo_r32_from3000_discrete,279238.0,77h33m,1500,grpo
psplit_datamatch,32696.8446,9h04m,3500,lora
psplit_datamatch_p1,8479.8424,2h21m,1000,lora
psplit_k1000,32665.2474,9h04m,3500,lora
psplit_k3000,18681.7956,5h11m,1500,lora
psplit_mp20base,16645.4548,4h37m,3000,lora
rank_r128_s1234,39282.2034,10h54m,4500,lora
rank_r128_s3407,39230.9206,10h53m,4500,lora
rank_r16_s1234,38858.089,10h47m,4500,lora
rank_r16_s3407,38892.4336,10h48m,4500,lora
rank_r32_s1234,38863.6651,10h47m,4500,lora
rank_r32_s3407,38890.8092,10h48m,4500,lora
rank_r64_s1234,38975.5676,10h49m,4500,lora
rank_r64_s3407,38990.7123,10h49m,4500,lora
